""	"AQC1cm"	"AQC4cm"	"AQC7cm"	"CC1"	"CL3"	"Even1"	"Even2"	"Even3"	"F21Plmr"	"LMEpi24M"	"M11Fcsw"	"M11Plmr"	"M11Tong"	"M31Fcsw"	"M31Plmr"	"M31Tong"	"NP2"	"NP3"	"NP5"	"SLEpi20M"	"SV1"	"TRRsed1"	"TRRsed2"	"TRRsed3"	"TS28"	"TS29"
"163176"	26	15	53	73	10	1	0	0	1	2	0	1	0	0	0	2	0	0	0	26	100	1	0	0	0	0
"6697"	1	1	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"556231"	0	1	1	4	5	0	0	0	17	0	0	1	0	0	1	2	0	1	0	2	12	0	0	1	0	0
"546756"	2	0	0	71	74	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"555446"	0	0	2	29	227	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"274500"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"236550"	1	2	3	342	28	0	0	0	11	2	0	61	1	0	9	1	0	0	0	20	382	0	3	0	0	0
"88301"	0	1	0	20	1	0	0	0	2	0	0	16	0	0	7	0	1	0	0	7	43	0	0	0	0	0
"102382"	5	11	7	977	19	1	5	4	179	5	0	790	5	0	291	1	0	0	1	273	2373	2	0	0	1	0
"322045"	0	1	1	46	6	0	0	0	1	0	0	16	0	0	7	1	0	0	1	2	23	0	0	0	0	0
"133568"	19	96	75	27	21	0	1	0	0	16	0	1	0	0	1	0	0	4	1	6	3	2	1	0	0	0
"97627"	25	51	76	1255	610	4	3	1	19	13	0	963	1	1	13	3	3	0	1	5	92	0	0	0	0	0
"578828"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"239064"	2	5	1	39	12	3	1	2	36	9	0	24	0	0	47	0	0	1	0	0	1411	1	3	0	0	0
"161340"	9	48	28	272	27	0	2	1	0	5	0	2	0	0	1	0	0	0	0	3	9	0	0	0	0	0
"235390"	152	184	162	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	1
"141836"	3	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"339015"	2	2	1	0	2	0	0	0	1	4	0	47	0	0	4	0	0	3	0	0	0	0	1	0	0	0
"143699"	0	0	0	2	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
"114783"	0	6	5	5	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	18	2	0	0	0	0	0
"164557"	3	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	42	299	13	0	0	0	1	0	0	0
"140805"	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	110	10	0	0	9	18	4	0	0
"196433"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
"9510"	6	2	5	3	2	5	4	2	75	52	2	13	119	4	378	5694	2	8	12	6	0	3	1	1	4	1
"55799"	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"72374"	2	0	0	1	0	12	15	23	15	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
"224569"	0	0	0	0	0	13	4	9	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"10113"	4	1	0	4	2	383	326	382	0	0	0	4	0	0	4	0	0	0	1	6	0	3	1	4	0	1
"8389"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"362373"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"139641"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"125536"	2	6	4	11	5	0	0	0	1	2	0	0	0	0	0	0	2	0	0	1	0	1	1	1	0	0
"103157"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	0	0	0	0
"245893"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
"144746"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"278398"	5	3	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	7	4	0	0	8	10	5	0	0
"97508"	4	10	8	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
"248442"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	12	1	0	0
"269778"	1	0	1	4	0	0	1	2	0	1	0	0	0	0	1	0	1	9	98	0	0	2	16	3	0	0
"312030"	26	4	1	0	1	3	0	1	0	3	0	0	0	0	0	12	38	942	206	0	0	0	3	2	0	1
"573761"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	10	0	0	0	1	3	1	0	0
"583669"	0	1	6	13	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	209	0	10	0	0	0
"139752"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	97	11	0	0
"315848"	0	5	4	0	1	2	0	0	1	1	0	0	1	0	1	0	4	8	8	0	0	55	347	96	0	0
"516971"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	3	0	0	0	1	0	0	0
"267568"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	6	6	5	0	0	14	13	8	0	0
"536009"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	73	1	0	0
"275935"	1	0	0	8	220	3	0	1	22	0	1	488	0	0	53	0	0	3	3	26	0	0	0	1	0	1
"558838"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"181819"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0
"141423"	43	68	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"8096"	45	99	159	2	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	277	1	25	36	0	0
"142784"	8	20	21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"343119"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	15	4	0	0
"511371"	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"279470"	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"546723"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"454435"	0	1	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"257199"	0	0	0	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"238279"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"362382"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	5	0	0	6	12	4	0	0
"305967"	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	86	242	0	0
"349780"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	1	7	17	0	0
"512616"	2	4	8	10	35	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0
"593006"	7	9	14	1440	372	2	1	0	0	9	0	0	0	1	0	1	0	0	0	0	3	0	2	0	0	0
"292288"	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	48	57	0	0
"166871"	2	7	1	1	0	6	1	1	1	4	0	1	1	0	0	3	1	5	1	0	1	86	1421	540	3	0
"565944"	2	8	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	2	0	0	9	36	76	0	0
"510626"	0	1	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0
"351629"	0	0	0	79	40	2	2	3	8	1	0	20	0	0	0	0	0	0	0	0	46	0	1	0	0	0
"202238"	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"102209"	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"93610"	0	0	0	2	1	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"205713"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"519193"	1	0	0	0	0	0	0	0	6	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"240591"	258	919	1037	2144	186	5	6	0	2	1	0	29	0	0	18	1	7	1	2	3	3	0	6	2	0	0
"223711"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"107461"	49	30	13	6	0	0	0	2	0	59	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
"98457"	0	4	1	141	48	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0
"108870"	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	26	0	0	0	0	0
"114978"	33	51	29	6	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"150577"	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"545503"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
"100870"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
"243335"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0
"93537"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	43	4	0	0	1	4	0	0	0
"265749"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	6	0	0	0	0	0	0	0
"534609"	1134	336	110	11	12	47	26	11	8	32	10	64	38	9	4	185	10712	148400	15722	17	9	52	24	20	17	16
"263307"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"344513"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	63	11	0	0	0	0	0	0	0
"5552"	97	75	95	811	336	4	1	4	23	1566	1	34	23	0	1	8	2	1	2	7692	896	1	2	2	0	0
"561842"	0	5	5	346	217	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
"91532"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
"340730"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"369734"	0	0	0	53	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0
"210865"	0	0	0	7	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"588604"	10	8	12	701	1393	7	1	0	0	2	1	0	0	3	0	0	1	0	0	2	5	0	0	0	0	0
"152931"	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	5	4	255	0	0	1	0	0	0	0
"548884"	22	60	54	8	1	0	0	0	0	2	0	0	1	0	0	0	0	3	0	0	5	0	52	25	0	0
"588899"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	62	102	1	0
"328739"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	60	11	0	0
"112752"	0	1	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"144065"	2	0	0	21	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"509511"	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"266208"	0	0	0	5	24	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"240686"	0	0	0	7	1	0	0	0	0	0	0	1	0	0	5	0	0	4	0	0	9	0	1	0	0	0
"339472"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	49	28	0	0
"78316"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"570817"	0	0	0	7	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	35	0	0	0	0	0
"487725"	0	0	0	4	4	0	0	1	0	2	0	56	0	0	3	0	0	0	0	3	52	0	0	0	0	0
"254841"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
"511687"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
"210791"	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"114292"	0	0	0	25	2	0	0	2	0	0	0	1	0	0	1	0	0	3	0	1	150	1	0	0	0	0
"114029"	15	54	11	0	0	0	0	0	1	3	0	1	2	0	1	15	1494	1113	1462	0	0	47	166	19	2	2
"540283"	5	26	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"584265"	0	0	1	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	35	16	0	0
"162529"	0	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"103639"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	0	0
"314793"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"134929"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	0	0
"571389"	3	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	6	11	0	0
"10857"	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"77467"	2	6	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"511558"	16	33	34	12	12	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	19	0	0	0	0	0
"589130"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	29	418	0	0	0	0	0	0	0
"218005"	128	70	125	190	13	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0
"241853"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	3	0	0	1	10	0	0	0
"568881"	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"136925"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"165369"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"236118"	0	0	1	3	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	6	0	0
"237963"	10	61	51	628	596	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0
"204177"	0	0	0	55	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
"332464"	3	19	25	53	27	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	15	1	153	23	0	0
"303295"	0	0	4	476	517	4	1	3	0	0	0	0	0	0	0	0	0	1	0	0	972	1	3	0	1	1
"76933"	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"565375"	16	118	175	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0
"244674"	1	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"541076"	53	283	171	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	6	4	0	0
"10660"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0
"261919"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"143463"	3	41	29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"522127"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"258229"	0	0	0	0	0	0	0	0	0	104	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
"172221"	416	2362	1922	0	0	4	0	0	0	4	0	0	0	0	1	1	11	3	1	8	0	0	0	0	1	0
"561793"	337	1656	1443	0	0	0	0	0	1	7	0	0	1	0	0	0	5	0	0	6	0	0	0	0	1	2
"548838"	5	6	3	0	0	0	1	2	0	3	0	0	7	0	0	50	75	176	7659	1	0	10	2	0	3	0
"330803"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	8	0	0	1	2	0	0	0
"88682"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"148678"	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"469382"	69	25	13	20	0	1	0	0	0	3	0	0	0	0	18	0	0	0	0	7	0	0	0	0	0	0
